country,iso3,year,mean_wbgt,renewable_energy_pct,fossil_fuel_pct,electricity_per_capita,co2_per_capita,gdp_per_capita,unemployment_rate,health_expenditure_pct,agri_valueadded_pct,urbanization_pct
India,IND,2009,20.290838,37.4,73.85,588.324306167645,1.34070298945647,1094.94974598436,7.664,3.54637694,16.7442701563161,30.587
Nepal,NPL,2009,10.824021,88.9,11.03,95.9038988467795,0.149552672345949,473.078751198621,10.587,3.90179515,31.3226520633995,16.434
Pakistan,PAK,2009,17.971336,46.4,60.82,394.332579260828,0.823380768791772,963.788066395225,0.535,2.49995875,21.7869229749534,34.793
Sri Lanka,LKA,2009,24.529476,63.5,44.21,412.161336954058,0.615515140244459,2026.65939950702,5.85,4.05676842,12.691971303497,18.242
Bangladesh,BGD,2010,23.803099,40.3,71.15,239.944314522424,0.399174830713931,757.385280361508,3.379,2.28807664,17.0011812592919,30.462
Bhutan,BTN,2010,7.6443315,84.8,,,1.27673766304844,2435.57980661188,3.32,3.29502344,12.4128589085858,34.793
India,IND,2010,20.58636,36.2,74.19,629.895949144928,1.40226678905551,1347.51939071367,7.652,3.33625913,17.0265090136912,30.93
Nepal,NPL,2010,11.071257,87.3,12.59,101.309518793684,0.174991163761827,585.278491984574,10.554,4.36131525,33.1793784908122,16.768
Pakistan,PAK,2010,18.203619,47.4,60.09,398.205076738798,0.781107932121358,987.304571124485,0.653,2.42967653,22.6888101741789,34.997
Sri Lanka,LKA,2010,24.690348,61.9,43.17,446.092260059814,0.647384567401384,2808.36779237408,4.784,3.7414515,9.04833700695796,18.226
Bangladesh,BGD,2011,23.113604,38.4,72.03,258.882228287795,0.425099567633734,837.336944695647,3.736,2.36418128,16.8099867573503,31.225
Bhutan,BTN,2011,6.908941,84.9,,,1.55079738982234,2787.97967689425,3.23,3.08310628,11.7996340684854,35.585
India,IND,2011,20.031681,35.0,74.49,678.603763179269,1.46709109594735,1445.46127486037,7.616,3.24634218,17.191973558015,31.276
Nepal,NPL,2011,10.433599,87.0,12.99,114.038146852442,0.195175632946305,785.518656222132,10.64,4.45220184,30.805485476422,17.108
Pakistan,PAK,2011,18.092337,46.8,59.39,389.259051457018,0.761781092557542,1131.73513834324,0.796,2.23121333,23.819642978628,35.202
Sri Lanka,LKA,2011,24.480474,56.4,51.83,487.551839569313,0.757126167734968,3224.95736331928,4.118,3.5819521,9.53315934995748,18.211
Bangladesh,BGD,2012,23.181782,37.3,73.35,276.694215863057,0.450489807832137,859.680536375497,4.071,2.3537879,16.1775631732753,31.993
Bhutan,BTN,2012,6.7600694,82.8,,,1.46135604137302,2751.21288653263,2.05,3.32087612,11.5729895404182,36.371
India,IND,2012,19.837433,34.8,75.52,709.29231683389,1.58192315310593,1429.32199520032,7.666,3.32935286,16.8453770661356,31.634
Nepal,NPL,2012,9.990644,84.7,15.66,118.504088354731,0.226065706031778,788.202937148377,10.643,4.49078751,30.0760569589773,17.458
Pakistan,PAK,2012,17.318378,47.2,59.27,385.848265583683,0.756405714192846,1204.36475491585,3.667,2.22185278,23.3861955340345,35.408
Sri Lanka,LKA,2012,24.483334,52.9,55.22,505.870296726539,0.845222395396236,3327.77612404326,3.88,3.30659294,7.91028886801456,18.196
Bangladesh,BGD,2013,23.148975,37.0,74.91,296.341695089956,0.460371266499191,958.262989798283,4.426,2.29574466,15.4932779975908,32.762
Bhutan,BTN,2013,7.05183,81.7,,,1.51611875804008,2679.95217216983,2.87,3.40428138,11.8526302024073,37.149
India,IND,2013,20.085676,34.9,75.14,743.800779206054,1.60762730152084,1432.84397512195,7.711,3.74944186,17.1484235433697,32.003
Nepal,NPL,2013,10.56759,86.0,15.1,133.309189316301,0.228191406769323,803.269595420477,10.687,4.63012981,28.6226575274714,17.815
Pakistan,PAK,2013,18.029972,48.1,59.17,414.845073891581,0.761674184204744,1225.4340119198,2.954,2.4164784,23.7075945934908,35.613
Sri Lanka,LKA,2013,24.498835,56.9,48.79,525.722613553558,0.720699538498907,3740.61589348326,4.186,3.69365358,7.9246041166418,18.198
Bangladesh,BGD,2014,23.287323,35.4,75.34,326.502853047843,0.485151359134913,1094.46199702838,4.416,2.27915168,15.3516208986344,33.535
Bhutan,BTN,2014,7.187488,82.1,,,1.53081475681965,2849.49998659935,2.63,3.28293824,12.0637822518234,37.918
India,IND,2014,20.14656,33.9,76.19,808.292643714784,1.70912130103464,1553.88396075118,7.674,3.61956549,16.7919345145039,32.384
Nepal,NPL,2014,10.310835,84.0,16.65,142.127327727983,0.265672943806403,821.455224911731,10.617,5.07549381,27.4618953626735,18.182
Pakistan,PAK,2014,17.612518,47.2,60.1,419.126539339922,0.789553024116013,1266.61340849959,1.827,2.48899078,23.4927320097855,35.819
Sri Lanka,LKA,2014,24.527788,54.2,53.73,531.090576571374,0.860482240831649,3971.91913148166,4.157,3.46786141,8.08070792347262,18.218
Bangladesh,BGD,2015,23.515741,33.1,76.86,348.932681283763,0.536007629763741,1224.38647668165,4.396,2.27217698,14.7829964369364,34.308
Bhutan,BTN,2015,7.049449,81.6,,,1.76163690323487,2954.04081973327,2.45,3.48926425,11.9950705237237,38.678
India,IND,2015,20.533213,33.4,76.42,841.084634870945,1.70187477972263,1583.99815907985,7.631,3.59565973,16.1745081068401,32.777
Nepal,NPL,2015,10.5911665,85.2,15.09,140.851504309521,0.263139650115375,875.543635474862,10.644,5.46615553,26.518508431071,18.557
Pakistan,PAK,2015,17.99319,45.9,60.72,435.140207884378,0.820351031478849,1380.47020838317,3.566,2.49493265,23.2628407756242,36.026
Sri Lanka,LKA,2015,24.773434,51.3,55.19,584.501669051025,0.939833094897473,4060.13139670248,4.519,3.6826396,8.21693887941169,18.256
Bangladesh,BGD,2016,23.991945,30.2,78.77,412.780315331328,0.584386984418544,1649.28380858601,4.35,2.38938212,13.4647923176039,35.083
Bhutan,BTN,2016,7.842258,80.8,,,1.89779987323932,3152.30905081592,2.705,3.32710075,12.0023717627001,39.428
India,IND,2016,20.795807,33.0,75.81,879.944208640028,1.71388197178672,1707.50892912243,7.601,3.50430417,16.3638005616331,33.182
Nepal,NPL,2016,11.427186,79.4,20.6,175.636517829682,0.385015994369902,877.256454696737,10.742,5.42378998,25.5178753726064,18.942
Pakistan,PAK,2016,18.589827,43.7,62.17,455.97127147955,0.893837153310713,1424.69161195897,2.285,2.57026362,22.3283302035697,36.234
Sri Lanka,LKA,2016,24.89304,45.1,61.56,626.479324814937,1.10726106841435,4149.76105454457,4.242,3.61788416,7.26171847777838,18.311
Bangladesh,BGD,2017,23.705105,28.1,79.41,443.212945924414,0.622894753150526,1811.08221668646,4.372,2.36720181,12.9572760433733,35.858
Bhutan,BTN,2017,7.681604,79.7,,,2.04736622322973,3435.28804814561,3.016,3.1345315,12.9297924309236,40.167
India,IND,2017,20.638647,32.5,75.78,918.313686962613,1.78999731844213,1950.10468280866,7.618,2.93597651,16.5583314049368,33.6
Nepal,NPL,2017,11.185383,76.8,23.34,203.596711008124,0.471203399718784,1034.28374906846,10.66,4.72170973,23.6995484588973,19.336
Pakistan,PAK,2017,18.168718,42.1,63.49,495.906448421728,0.955178531852753,1519.23459514248,3.215,2.7863009,21.9632035366872,36.442
Sri Lanka,LKA,2017,24.633234,45.8,60.69,667.272896847603,1.09158272710315,4401.05567045499,4.046,3.33093429,7.4306787796126,18.384
Bangladesh,BGD,2018,23.319342,27.0,79.7,471.126089137386,0.645077044556817,1965.24372731467,4.407,2.31622243,12.4800771856196,36.632
Bhutan,BTN,2018,7.171645,80.0,,,2.36245967471264,3400.20417159422,3.35,3.06896734,13.5509200273648,40.895
India,IND,2018,20.322939,32.9,75.95,970.834176233242,1.8718236887863,1966.25455171679,7.652,2.8584938,16.031630686449,34.03
Nepal,NPL,2018,10.787067,75.0,25.41,229.988302220869,0.530230231538533,1179.19843190389,10.559,4.52808428,22.3346720502565,19.74
Pakistan,PAK,2018,18.234999,43.4,64.32,494.626307874451,0.891393767524322,1569.33814626355,4.083,2.82844949,21.6512353593957,36.666
Sri Lanka,LKA,2018,24.388268,47.9,58.72,652.099676972773,1.01430087678819,4360.58473469252,4.318,3.6418879,7.59206395095741,18.476
Bangladesh,BGD,2019,23.737297,26.1,80.91,515.10173042395,0.655345933649704,2129.79896954606,4.441,2.25762248,11.9753231358984,37.405
Bhutan,BTN,2019,7.1631403,81.0,,,2.56804179785153,3576.87987077877,2.72,3.37511158,12.9339528096718,41.612
India,IND,2019,20.572672,33.5,75.36,988.272169542114,1.8300789248723,2041.42863698585,6.51,2.95299792,16.7555683032837,34.472
Nepal,NPL,2019,10.527405,78.2,22.33,231.188329835535,0.473719634051644,1203.14294706401,10.389,4.44524717,21.583372760027,20.153
Pakistan,PAK,2019,18.004992,45.9,63.2,481.176635278184,0.862094995565853,1390.41690981745,4.83,2.84736943,20.6778713222887,36.907
Sri Lanka,LKA,2019,24.803244,46.1,60.51,679.264321423657,1.09945420354997,4082.69404871533,4.67,3.89904952,7.25624669982984,18.585
Bangladesh,BGD,2020,23.465654,27.2,81.15,509.945926958218,0.616107741604915,2248.85078828233,5.436,2.27063942,11.9996868602485,38.177
Bhutan,BTN,2020,7.303335,83.9,,,2.25569670885681,3191.66907031782,5.03,4.08451509,15.7030755775369,42.316
India,IND,2020,20.566261,36.1,73.34,901.428810221876,1.65329990364908,1907.04251637669,7.859,3.34146094,18.6685376603727,34.926
Nepal,NPL,2020,10.562483,73.1,27.35,257.262042794567,0.568082369699641,1154.21517578318,12.975,5.2080965,22.1800901927916,20.576
Pakistan,PAK,2020,17.832758,42.7,66.28,517.659983683696,0.946681902525099,1278.39735206896,6.127,2.95273018,21.8541325548966,37.165
Sri Lanka,LKA,2020,24.826889,49.3,58.95,682.604133400246,1.01096765363383,3846.17449566736,5.364,4.06134748,8.25132314823574,18.713
Bangladesh,BGD,2021,23.729807,25.0,82.5,574.118203146015,0.695944754578843,2482.84917843357,5.327,2.36551309,11.6328584271282,38.946
Bhutan,BTN,2021,7.710866,81.8,,,2.41191475313434,3570.61257915864,4.803,3.0729053,15.7947840212102,43.008
India,IND,2021,20.554611,34.9,74.46,964.228004078416,1.80206214055006,2239.61384367482,6.38,3.34680939,17.3725615260314,35.393
Nepal,NPL,2021,11.069148,73.7,28.01,306.293365125237,0.562887001565055,1252.75076731986,12.186,5.32333136,22.0214522780508,21.008
Pakistan,PAK,2021,18.24954,41.6,65.49,570.098770866866,0.988583071213352,1455.31922370186,6.338,2.99015832,22.6625080760743,37.44
Sri Lanka,LKA,2021,24.700125,48.8,58.53,713.666726846001,1.02559577541072,3999.33764677637,4.981,4.02830219,8.78994016463402,18.86
Bangladesh,BGD,2022,23.760311,,83.13,602.674747324137,0.732520444251886,2716.48592677835,4.593,2.39038587,11.2176010351595,39.711
Bhutan,BTN,2022,7.5868535,82.5,,,2.46723710933598,3711.32767902157,5.947,4.38545895,14.6710119418684,43.686
India,IND,2022,20.645563,,74.94,1074.84358827742,1.922811819624,2352.61392452078,4.822,3.3058846,16.6394310409691,35.872
Nepal,NPL,2022,11.249358,,26.47,321.045264151601,0.579560737389147,1385.91066275016,10.844,6.65589333,20.9143699814879,21.451
Pakistan,PAK,2022,18.546078,,63.94,605.788247596384,0.897331150923768,1538.3228133171,5.485,2.90434051,22.3268646996031,37.731
Sri Lanka,LKA,2022,24.588945,,53.93,684.05392002164,0.900779946801316,3342.71989646203,4.528,4.36269855,8.49709598933623,19.026
Bangladesh,BGD,2023,23.979645,,,,0.727798394314847,2551.01772674142,4.454,,11.0036900209598,40.473
Bhutan,BTN,2023,7.6962557,,,,2.52637067085461,,3.126,,,44.35
India,IND,2023,20.660215,,,,2.05496431342395,2480.79208721621,4.172,,15.9983621319994,36.364
Nepal,NPL,2023,11.013119,,,,0.603941172631508,1377.62603571292,10.628,,21.1895508386773,21.903
Pakistan,PAK,2023,18.426094,,,,0.810127104964296,1365.27743222493,5.408,,23.3290852852839,38.04
Sri Lanka,LKA,2023,24.992374,,,,0.931070472387349,3827.96495637489,5.997,,8.28102514095053,19.211
